SNO.,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS
626,9/12/2013,46.45,122.61,1492,3770
627,9/13/2013,46.61,122.73,5826,3770
628,9/14/2013,46.93,122.97,7684,3771
629,9/15/2013,47.01,123.03,4950,3809
630,9/16/2013,47.01,123.03,4950,3809
631,9/23/2013,49.45,124.8,13318,10363
632,9/17/2013,46.8,122.87,2266,3771
633,9/18/2013,46.73,122.82,3195,3770
634,9/19/2013,46.84,122.9,5207,3770
635,9/20/2013,47.31,123.25,9513,3809
636,9/21/2013,48.09,123.82,13077,3859
637,9/22/2013,49.21,124.63,17144,3913
638,9/24/2013,49.45,124.8,8656,8447
639,9/25/2013,49.45,124.8,5136,4927
640,9/26/2013,49.33,124.71,3683,4927
641,9/27/2013,49.21,124.63,3844,4927
642,9/28/2013,49.03,124.5,3037,4927
643,9/29/2013,48.77,124.31,2068,4927
644,9/30/2013,48.49,124.11,1906,4927
645,10/1/2013,48.27,123.95,2552,4913
646,10/2/2013,48.13,123.85,3040,4371
647,10/3/2013,48.03,123.78,3015,3871
648,10/4/2013,47.93,123.7,2857,3871
649,10/5/2013,47.79,123.6,2541,3871
650,10/6/2013,47.61,123.47,2053,3821
651,10/7/2013,47.37,123.29,1225,3821
652,10/14/2013,46.58,122.71,1383,3770
653,10/8/2013,47.2,123.17,2174,3821
654,10/9/2013,47.13,123.12,3281,3821
655,10/10/2013,47.12,123.11,3914,3821
656,10/11/2013,47.12,123.11,4072,3821
657,10/12/2013,47,123.02,2649,3821
658,10/13/2013,46.81,122.88,1856,3784
659,10/21/2013,46.89,122.94,12054,3760
660,10/15/2013,46.37,122.55,1538,3770
661,10/16/2013,46.26,122.47,2743,3737
662,10/17/2013,46.14,122.38,2577,3725
663,10/18/2013,46.05,122.31,2887,3725
664,10/19/2013,46.06,122.32,4125,3725
665,10/20/2013,46.19,122.42,5518,3725
666,10/22/2013,47.28,123.23,8625,3809
667,10/23/2013,47.31,123.25,4388,3821
668,10/24/2013,47.31,123.25,4072,3821
669,10/25/2013,47.31,123.25,4072,3821
670,10/26/2013,47.3,123.24,3914,3821
671,10/28/2013,47.08,123.08,2333,3821
672,10/29/2013,46.94,122.98,2484,3809
673,10/30/2013,46.77,122.85,2004,3771
674,11/1/2013,46.37,122.55,1847,3770
675,11/2/2013,46.15,122.39,1458,3737
676,11/3/2013,45.89,122.19,827,3725
677,11/4/2013,45.63,122,982,3725
678,11/5/2013,45.41,121.83,1314,3695
679,11/6/2013,45.19,121.66,1305,3685
680,11/7/2013,44.96,121.49,1294,3674
681,11/8/2013,44.7,121.29,809,3644
682,11/9/2013,49.45,121.1,961,3644
683,11/10/2013,44.18,120.89,682,3634
684,11/11/2013,43.9,120.67,535,3604
685,11/12/2013,43.54,120.39,686,4643
686,11/13/2013,43.31,120.21,2141,4616
687,11/14/2013,43.04,120,1697,4616
688,11/15/2013,42.83,119.83,2314,4590
689,11/16/2013,42.57,119.62,1724,4580
690,11/17/2013,42.3,119.41,1716,4573
691,11/18/2013,42.08,119.23,2129,4550
692,11/19/2013,41.93,119.11,2998,4550
693,11/20/2013,41.79,119,3143,4550
694,11/21/2013,41.61,118.85,2585,4528
695,11/22/2013,41.39,118.67,2152,4520
696,11/23/2013,41.18,118.5,2293,4519
697,11/24/2013,41.34,102.09,6533,4507
698,11/25/2013,41.98,119.15,11708,4107
699,11/26/2013,42.23,119.35,7586,4500
700,11/27/2013,42.24,119.36,4833,4500
701,11/28/2013,42.18,119.31,3963,4500
702,11/29/2013,42.08,119.23,3528,4500
703,11/30/2013,42.02,119.18,3963,4500
704,12/2/2013,41.79,119,3239,4500
705,12/1/2013,0,119.1,3514,4500
706,12/5/2013,41.48,118.75,3802,4470
707,12/6/2013,41.36,118.65,3235,4470
708,12/7/2013,41.24,118.55,3234,4469
709,12/3/2013,41.68,118.91,3385,4478
710,12/4/2013,41.56,118.81,3235,4470
711,12/8/2013,41.12,118.45,3228,4463
712,12/9/2013,41.01,118.36,3351,4444
713,12/10/2013,40.9,118.27,3351,4444
714,12/11/2013,40.79,118.18,3351,4444
715,12/12/2013,40.65,118.07,2968,4344
716,12/13/2013,40.49,117.94,2594,4237
717,12/14/2013,40.47,117.92,3561,3659
718,12/15/2013,40.43,117.89,3699,4214
719,12/16/2013,40.33,117.8,3145,4214
720,12/17/2013,40.21,117.7,2906,4114
721,12/18/2013,40.12,117.63,3221,4013
722,12/19/2013,40,117.53,2805,4013
723,12/20/2013,39.88,117.43,2773,3995
724,12/21/2013,39.87,117.42,2599,2573
725,12/22/2013,39.85,117.4,2377,2490
726,12/23/2013,39.69,117.27,2351,3988
727,12/24/2013,39.52,117.13,2212,3988
728,12/25/2013,39.29,116.93,1694,4282
729,12/26/2013,39.04,116.72,1578,4263
730,12/27/2013,38.84,116.55,1873,4016
731,12/28/2013,38.73,116.45,1984,3177
732,12/29/2013,38.67,116.4,1981,2496
733,12/30/2013,38.63,116.37,1875,1120
734,12/31/2013,38.61,116.35,1885,1994
735,5/31/2012,8.45,73.3,337,4101
736,6/7/2012,7.76,72.23,311,204
737,6/1/2012,7.94,72.75,402,2575
738,6/2/2012,7.75,72.22,399,2448
739,6/3/2012,7.75,72.22,271,204
740,6/8/2012,7.76,72.23,311,204
741,6/10/2012,7.77,72.26,271,204
742,6/9/2012,7.77,72.26,296,204
743,6/4/2012,7.76,72.23,311,204
744,6/5/2012,7.75,72.22,232,204
745,6/6/2012,7.75,72.22,271,204
746,6/11/2012,7.77,72.27,311,204
747,6/15/2012,7.79,72.32,311,204
748,6/17/2012,7.78,72.31,307,204
749,6/16/2012,7.78,72.3,265,277
750,6/12/2012,7.77,72.28,311,204
751,6/13/2012,7.78,72.3,351,204
752,6/30/2012,8.92,75.45,2275,220
753,6/29/2012,8.75,75,2208,218
754,6/28/2012,8.58,74.55,1780,218
755,6/27/2012,8.45,74.2,1758,217
756,6/26/2012,8.33,73.85,1728,217
757,7/1/2012,8.94,75.5,1309,1019
758,7/2/2012,8.66,74.75,754,3972
759,7/3/2012,8.42,74.1,1089,3810
760,7/4/2012,8.31,73.8,2723,3923
761,7/5/2012,8.94,75.5,10983,3624
762,7/6/2012,9.65,77.3,11708,3470
763,7/7/2012,10.14,78.5,9230,3439
764,7/8/2012,10.2,78.65,4189,3397
765,7/11/2012,9.85,77.8,1780,3389
766,7/9/2012,10.14,78.5,2730,3397
767,7/10/2012,9.99,78.15,1754,3393
768,7/15/2012,9.44,76.8,1981,2834
769,7/14/2012,9.52,77,1953,2834
770,7/13/2012,9.6,77.2,1718,2835
771,7/12/2012,9.71,77.45,1522,3101
772,7/19/2012,9.16,76.08,2253,2833
773,7/18/2012,9.22,76.22,2071,2833
774,7/17/2012,9.29,76.4,1980,2834
775,7/16/2012,9.37,76.6,1981,2834
776,7/20/2012,9.11,75.95,2251,2833
777,7/21/2012,9.05,75.8,2173,2833
778,7/22/2012,8.98,75.6,1952,2782
779,7/23/2012,8.92,75.44,2129,2782
780,7/24/2012,8.87,75.33,2349,2782
781,7/25/2012,8.85,75.27,2569,2782
782,7/26/2012,8.82,75.2,3079,3336
783,7/28/2012,8.78,75.09,3097,3265
784,7/29/2012,8.85,75.27,4112,3266
785,7/27/2012,8.8,75.14,3053,3266
786,7/31/2012,9.37,76.6,4115,223
787,8/1/2012,9.69,77.4,3987,224
788,7/30/2012,9.03,75.75,5440,3270
789,8/3/2012,10.18,78.6,3215,233
790,8/2/2012,9.93,78,3112,225
791,8/4/2012,10.37,79.05,2496,236
792,8/5/2012,10.5,79.35,1802,237
793,8/6/2012,10.64,79.66,1859,0
794,8/7/2012,11.32,81.2,8358,0
795,8/8/2012,13.96,86.5,30997,0
796,8/9/2012,16.42,90.8,29081,0
797,8/10/2012,18.22,93.63,21436,0
798,8/11/2012,19.98,96.2,20995,0
799,8/12/2012,21.28,98,15763,0
800,8/13/2012,22.42,99.5,13872,562
801,8/14/2012,23.7,101.12,15252,340
802,8/15/2012,24.57,102.18,10504,349
803,8/16/2012,25.1,102.82,6662,353
804,8/17/2012,25.47,103.25,5511,1168
805,8/18/2012,25.4,103.17,3905,4570
806,8/19/2012,25.23,102.97,3186,5034
807,8/20/2012,25.08,102.79,3550,5174
808,8/21/2012,24.91,102.59,3351,5168
809,8/22/2012,24.7,102.34,2860,5161
810,8/23/2012,24.39,101.97,1696,5150
811,8/24/2012,24.23,101.77,2663,4436
812,8/25/2012,24.1,101.61,3038,4433
813,8/26/2012,23.9,101.37,3023,5173
814,8/27/2012,23.9,101.37,3023,5173
815,8/28/2012,23.88,101.34,6591,5160
816,8/29/2012,24.01,101.5,6787,5161
817,8/30/2012,24.13,101.65,6700,5175
818,8/31/2012,24.73,102.37,12177,5190
819,9/1/2012,24.73,102.37,12177,5190
820,9/2/2012,26.33,104.25,13953,4938
821,9/3/2012,27.1,105.13,14086,4974
822,9/4/2012,27.89,106,14208,5005
823,9/5/2012,28.89,107.08,16740,5044
824,9/6/2012,29.85,108.1,16485,5150
825,9/7/2012,30.5,108.77,12900,5237
826,9/8/2012,30.95,109.23,10638,5265
827,9/9/2012,31.31,109.59,9570,5281
828,9/10/2012,31.62,109.9,9013,5299
829,9/11/2012,31.88,110.16,8503,5319
830,9/12/2012,32.11,110.38,8820,6078
831,9/13/2012,32.23,110.5,7901,6336
832,9/14/2012,32.33,110.6,7679,6350
833,9/15/2012,32.36,110.63,6855,6350
834,9/16/2012,32.36,110.63,6503,6351
835,9/17/2012,32.28,110.55,5912,6350
836,9/18/2012,32.23,110.5,5911,6349
837,9/19/2012,32.23,110.5,5911,6349
838,9/20/2012,32.18,110.45,5524,5961
839,9/21/2012,32.21,110.48,5837,5332
840,9/22/2012,32.14,110.41,4660,5332
841,9/23/2012,32.06,110.33,4540,5331
842,9/24/2012,31.9,110.18,3712,5327
843,9/25/2012,31.72,110,3356,5324
844,9/26/2012,31.55,109.83,3502,5307
845,9/27/2012,31.37,109.65,3378,5299
846,9/28/2012,31.27,109.55,4295,5296
847,9/29/2012,31.29,109.57,5675,5295
848,9/30/2012,31.22,109.5,5248,5903
849,10/1/2012,30.99,109.27,5587,8084
850,10/2/2012,30.78,109.05,6233,8579
851,10/3/2012,30.51,108.78,5687,8552
852,10/4/2012,30.11,108.36,5192,9728
853,10/5/2012,29.48,107.71,4893,11932
854,10/6/2012,28.63,106.8,12703,22440
855,10/7/2012,27.71,105.8,5782,16244
856,10/8/2012,27.17,105.2,6307,12395
857,10/9/2012,26.97,104.98,5522,7646
858,10/10/2012,27.08,105.1,4493,3082
859,10/11/2012,27.04,105.06,3383,3634
860,10/12/2012,26.99,105,3472,3934
861,10/13/2012,26.9,104.9,3074,3930
862,10/14/2012,26.95,104.96,4699,3928
863,10/15/2012,27.46,105.53,8812,2717
864,10/16/2012,28.01,106.13,7246,793
865,10/17/2012,28.58,106.75,7597,804
866,10/18/2012,29.02,107.22,6271,1020
867,10/19/2012,29.27,107.49,4153,1023
868,10/20/2012,29.48,107.71,3613,1031
869,10/21/2012,29.74,107.98,4164,1034
870,10/22/2012,29.96,108.21,3796,1043
871,10/23/2012,30.15,108.41,3468,1045
872,10/24/2012,30.3,108.56,2910,1048
873,10/25/2012,30.23,108.49,3050,3927
874,10/26/2012,30.07,108.32,2618,4347
875,10/27/2012,29.85,108.1,2356,4646
876,10/28/2012,29.54,107.77,1422,4888
877,10/31/2012,28.52,106.68,1446,5241
878,11/1/2012,28.42,106.58,3620,4520
879,11/2/2012,28.61,106.78,5462,3187
880,11/3/2012,28.91,107.11,6393,2700
881,11/4/2012,29.16,107.37,5696,2709
882,10/29/2012,29.21,107.42,1896,5555
883,10/30/2012,28.86,107.05,1519,5397
884,11/11/2012,28.76,106.95,2444,5246
885,11/5/2012,29.34,107.56,4932,2712
886,11/6/2012,29.49,107.72,4788,2895
887,11/7/2012,29.52,107.75,5432,4961
888,11/8/2012,29.43,107.66,4116,4961
889,11/9/2012,29.27,107.49,3050,4771
890,11/10/2012,29.02,107.22,2434,5250
891,11/14/2012,27.99,106.11,2480,5227
892,11/15/2012,27.73,105.82,2302,5218
893,11/16/2012,27.38,105.44,1388,5214
894,11/17/2012,27.03,105.05,1277,5208
895,11/18/2012,26.69,104.66,1356,5203
896,11/12/2012,28.51,106.67,2385,5238
897,11/13/2012,28.24,106.38,2274,5235
898,11/19/2012,26.33,104.25,1158,5196
899,11/20/2012,25.96,103.83,1095,5193
900,11/21/2012,25.59,103.4,1050,5186
901,11/22/2012,25.21,102.95,858,5180
902,11/23/2012,24.85,102.52,1143,5174
903,11/24/2012,24.49,102.09,1142,5173
904,11/25/2012,24.15,101.67,1314,5171
905,11/26/2012,23.85,101.3,1804,5169
906,11/27/2012,23.6,101,2458,5163
907,11/28/2012,23.36,100.7,2525,5162
908,11/29/2012,23.1,100.37,2248,5161
909,11/30/2012,22.81,100,1879,5160
910,12/1/2012,0,99.64,2040,5157
911,12/2/2012,22.23,99.25,1775,5152
912,12/3/2012,21.89,98.81,1369,5150
913,12/4/2012,21.57,98.38,1510,5148
914,12/5/2012,21.33,98.06,2468,5147
915,12/6/2012,21.11,97.77,2780,5146
916,12/7/2012,20.67,97.17,3494,8477
917,12/8/2012,19.49,95.5,2164,17420
918,12/9/2012,18.27,93.7,2742,19355
919,12/10/2012,17.52,92.55,2027,10601
920,12/11/2012,17.18,92.02,2149,5981
921,12/12/2012,16.89,91.56,1946,5171
922,12/13/2012,16.59,91.08,1773,5138
923,12/14/2012,16.3,90.6,1819,5103
924,12/15/2012,16.01,90.12,1803,5071
925,12/16/2012,15.73,89.65,1909,5038
926,12/17/2012,15.46,89.18,1895,5000
927,12/18/2012,15.19,88.72,1990,4974
928,12/19/2012,14.94,88.28,2123,4941
929,12/20/2012,14.7,87.85,2169,4899
930,12/21/2012,14.45,87.41,2119,4861
931,12/22/2012,14.23,87,2276,4826
932,12/23/2012,14.01,86.6,2380,4792
933,12/29/2012,12.76,84.2,2353,4626
934,12/30/2012,12.55,83.78,2235,4588
935,12/31/2012,12.32,83.3,1878,4538
936,12/24/2012,13.8,86.2,2341,4753
937,12/25/2012,13.59,85.8,2339,4716
938,12/26/2012,13.37,85.39,2272,4674
939,12/27/2012,13.17,85,2416,4697
940,12/28/2012,12.97,84.6,2391,4664
941,9/30/2010,46.18,122.41,2706,6840
942,12/31/2010,45.81,122.13,2668,6795
943,6/18/2014,7.85,72.5,574,351
944,6/19/2014,7.86,72.53,534,351
945,6/20/2014,7.87,72.57,574,351
946,6/21/2014,8.2,73.5,4203,356
947,6/22/2014,9.13,76,12085,1266
948,6/23/2014,9.97,78.1,12084,2253
949,6/24/2014,10.7,79.8,10842,2393
950,6/25/2014,11.08,80.65,6937,2480
951,6/26/2014,11.28,81.1,4953,2520
952,6/27/2014,11.35,81.25,2953,2066
953,6/28/2014,11.35,81.25,2042,1957
954,6/29/2014,11.33,81.21,1974,2103
955,6/30/2014,11.29,81.13,1758,2101
956,7/1/2014,11.26,81.05,1756,2099
957,7/2/2014,11.25,81.03,6474,2098
958,7/3/2014,11.23,81,6647,2097
959,7/4/2014,11.22,80.98,6825,2097
960,7/5/2014,11.23,81,7021,2097
961,7/6/2014,11.3,81.15,7021,2098
962,7/7/2014,11.46,81.5,7475,347
963,7/8/2014,11.57,81.73,7618,350
964,1/1/2015,43.26,120.17,1631,4419
965,1/2/2015,39.88,117.43,1819,807
966,1/3/2015,39.96,117.49,1644,632
967,1/4/2015,40.04,117.56,1802,651
968,1/5/2015,40.09,117.6,1392,657
969,1/6/2015,40.12,117.63,1253,657
970,1/7/2015,40.16,117.66,1253,657
971,1/8/2015,40.21,117.7,1392,657
972,1/9/2015,40.24,117.73,1253,657
973,1/10/2015,40.29,117.77,1392,658
974,1/11/2015,40.3,117.78,977,658
975,1/12/2015,40.07,117.59,1859,4314
976,1/13/2015,39.78,117.34,1009,4288
977,1/14/2015,39.49,117.1,1140,4288
978,1/15/2015,39.17,116.83,758,4270
979,1/16/2015,38.83,116.54,510,4263
980,1/17/2015,38.15,116.81,550,4250
981,1/18/2015,38.08,115.9,594,4737
982,1/19/2015,37.71,115.57,510,4722
983,1/20/2015,37.43,115.33,1435,4456
984,1/21/2015,37.18,115.11,1445,4201
985,1/1/2016,27.89,106,703,1965
986,1/2/2016,27.78,105.88,616,1733
987,1/3/2016,27.71,105.8,536,1236
988,1/4/2016,27.7,105.79,444,414
989,1/5/2016,27.68,105.77,339,414
990,1/6/2016,27.66,105.75,339,414
991,1/7/2016,27.51,105.58,322,1959
992,1/8/2016,27.23,105.27,375,3472
993,1/9/2016,26.99,105,789,3469
994,1/10/2016,26.73,104.71,646,3465
995,1/11/2016,26.43,104.37,507,3956
996,1/12/2016,26.15,104.05,829,3951
997,1/13/2016,25.87,103.72,792,3948
998,1/14/2016,25.56,103.36,578,4019
999,1/15/2016,25.25,103,649,4089
1000,1/16/2016,24.92,102.6,644,4385
1001,1/17/2016,24.6,102.22,824,4382
1002,1/18/2016,24.35,101.92,815,3581
1003,1/19/2016,24.08,101.59,582,3580
1004,1/20/2016,23.8,101.24,389,3576
1005,1/21/2016,23.53,100.91,622,3574
1006,1/22/2016,23.29,100.61,926,3572
1007,1/23/2016,23.3,100.62,568,366
1008,1/24/2016,23.29,100.61,384,366
1009,1/25/2016,23.3,100.62,568,366
1010,1/26/2016,23.29,100.61,384,366
1011,1/27/2016,23.28,100.59,292,366
1012,1/28/2016,23.27,100.58,384,366
1013,1/1/2017,10.55,79.47,264,254
1014,1/2/2017,10.55,79.46,269,254
1015,1/3/2017,10.55,79.45,269,254
1016,1/4/2017,10.54,79.44,269,254
1017,1/5/2017,10.54,79.44,319,254
1018,1/6/2017,10.54,79.43,269,254
1019,1/7/2017,10.54,79.43,319,254
1020,1/8/2017,10.54,79.44,369,254
1021,1/9/2017,10.54,79.44,319,254
1022,1/10/2017,10.54,79.43,269,254
1023,1/11/2017,10.54,79.43,319,254
1024,1/12/2017,10.53,79.42,269,254
1025,1/13/2017,10.53,79.42,319,254
1026,1/14/2017,10.52,79.4,218,254
1027,1/15/2017,10.52,79.38,218,254
1028,1/16/2017,10.51,79.37,269,254
1029,1/17/2017,10.5,79.35,213,254
1030,1/18/2017,10.5,79.34,264,254
1031,1/19/2017,10.49,79.32,213,254
1032,1/20/2017,10.48,79.3,213,254
1033,1/21/2017,10.48,79.29,264,254
1034,1/22/2017,10.47,79.27,213,254
1035,1/23/2017,10.46,79.25,213,254
1036,1/24/2017,10.45,79.24,264,254
1037,1/25/2017,10.45,79.22,213,254
1038,1/26/2017,10.44,79.2,213,254
1039,1/27/2017,10.43,79.19,264,254
1040,1/28/2017,10.42,79.17,213,254
1041,1/29/2017,10.42,79.15,213,254
1042,1/30/2017,10.4,79.12,163,254
1043,1/31/2017,10.39,79.1,213,254
1044,2/1/2017,10.39,79.08,213,254
1045,2/2/2017,10.38,79.06,213,253
1046,2/3/2017,10.36,79.03,162,253
1047,2/4/2017,10.35,79,162,253
1048,1/1/2018,25.55,103.35,291,3445
1049,1/2/2018,25.4,103.17,231,1887
1050,1/3/2018,25.38,103.15,264,334
1051,1/4/2018,25.36,103.13,264,334
1052,1/5/2018,25.34,103.1,165,334
1053,1/6/2018,25.32,103.08,264,334
1054,1/7/2018,25.3,103.06,264,334
1055,1/8/2018,25.28,103.03,165,334
1056,1/9/2018,25.25,103,165,334
1057,1/10/2018,25.24,102.98,261,331
1058,1/11/2018,25.22,102.96,260,329
1059,1/12/2018,25.19,102.93,163,329
1060,1/13/2018,25.18,102.91,260,329
1061,1/14/2018,24.99,102.69,208,2210
1062,1/15/2018,24.63,102.25,161,4289
1063,1/16/2018,24.26,101.81,205,4288
1064,1/17/2018,23.9,101.36,157,4286
1065,1/18/2018,23.53,100.91,172,4281
1066,1/19/2018,23.14,100.42,187,4580
1067,1/20/2018,22.76,99.94,141,4428
1068,1/21/2018,22.4,99.47,171,4273
1069,1/1/2019,36.59,114.58,581,685
1070,1/2/2019,36.56,114.56,594,685
1071,1/3/2019,36.53,114.53,465,685
1072,1/4/2019,36.5,114.5,465,685
1073,1/5/2019,36.46,114.47,450,670
1074,1/6/2019,36.43,114.44,445,665
1075,1/7/2019,36.38,114.4,315,665
1076,1/22/2018,22.04,99,170,4271
1077,1/23/2018,21.67,98.52,188,4271
1078,1/24/2018,21.36,98.1,156,3715
1079,1/25/2018,21.2,97.89,188,1893
1080,1/26/2018,21.17,97.85,160,398
1081,1/27/2018,21.14,97.81,160,398
1082,1/28/2018,21.11,97.77,160,398
1083,1/29/2018,21.08,97.73,160,398
1084,1/30/2018,21.06,97.7,245,398
1085,1/31/2018,21.04,97.67,245,398
1086,2/1/2018,21.02,97.64,245,398
1087,2/2/2018,20.99,97.6,151,398
1088,2/3/2018,20.96,97.56,151,398
1089,2/4/2018,20.93,97.52,160,398
1090,2/5/2018,20.9,97.48,160,398
1091,2/6/2018,20.75,97.27,196,1877
1092,2/7/2018,20.38,96.76,182,4357
1093,2/8/2018,20.01,96.24,156,4355
1094,2/9/2018,19.63,95.71,134,4353
1095,2/10/2018,19.26,95.18,183,4352
1096,2/11/2018,18.9,94.64,173,4347
1097,2/12/2018,18.52,94.09,127,4342
1098,2/13/2018,18.15,93.53,144,4340
1099,2/14/2018,17.79,92.97,167,4338
1100,2/15/2018,17.41,92.39,125,4336
1101,2/16/2018,17.11,91.91,169,3619
1102,2/17/2018,16.85,91.49,192,3132
1103,2/18/2018,16.55,91.01,134,3506
1104,2/19/2018,16.24,90.5,139,3626
1105,2/20/2018,16.05,90.19,179,2264
1106,2/21/2018,16.03,90.15,165,361
1107,2/22/2018,16,90.11,164,360
1108,2/23/2018,15.98,90.07,164,360
1109,2/24/2018,15.95,90.03,164,360
1110,2/25/2018,15.94,90,233,359
1111,2/26/2018,15.91,89.96,168,359
1112,2/27/2018,15.89,89.92,167,358
1113,2/28/2018,15.87,89.88,167,358
1114,3/1/2018,15.84,89.84,167,358
1115,3/2/2018,15.82,89.8,167,358
1116,3/3/2018,15.75,89.68,131,858
1117,3/4/2018,15.68,89.56,131,858
1118,3/5/2018,15.65,89.52,173,357
1119,3/6/2018,15.63,89.48,173,357
1120,3/7/2018,15.48,89.22,132,1810
1121,3/8/2018,15.2,88.74,140,3263
1122,3/9/2018,14.93,88.26,180,3261
1123,3/10/2018,14.61,87.69,146,3762
1124,3/11/2018,14.29,87.12,193,3760
1125,3/12/2018,13.97,86.53,186,3794
1126,3/13/2018,13.65,85.93,153,3789
1127,3/14/2018,13.34,85.32,184,3786
1128,3/15/2018,13.02,84.7,171,3781
1129,3/16/2018,12.7,84.07,163,3777
1130,3/17/2018,12.44,83.55,186,3074
1131,3/18/2018,12.19,83.03,195,3071
1132,3/19/2018,11.93,82.49,163,3068
1133,3/20/2018,11.67,81.95,173,3064
1134,3/21/2018,11.42,81.4,195,3061
1135,3/22/2018,11.16,80.84,162,3057
1136,3/23/2018,11.07,80.64,169,1134
1137,3/24/2018,11.05,80.59,154,341
1138,3/25/2018,11.03,80.54,153,340
1139,3/26/2018,11,80.49,153,340
1140,3/27/2018,10.98,80.44,152,339
1141,3/28/2018,10.96,80.39,152,339
1142,3/29/2018,10.94,80.34,152,339
1143,3/30/2018,10.91,80.29,150,337
1144,3/31/2018,10.89,80.24,149,336
1145,4/1/2018,10.87,80.19,149,336
1146,4/2/2018,10.85,80.14,174,335
1147,4/3/2018,10.83,80.1,224,333
1148,4/4/2018,10.81,80.05,171,332
1149,4/5/2018,10.78,80,170,331
1150,4/6/2018,10.75,79.91,138,495
1151,4/7/2018,10.69,79.79,151,659
1152,4/8/2018,10.64,79.67,150,658
1153,4/9/2018,10.5,79.34,160,1723
1154,4/10/2018,10.12,78.44,153,4491
1155,4/11/2018,9.74,77.52,156,4466
1156,4/12/2018,9.36,76.59,157,4388
1157,4/13/2018,9.06,75.81,153,3596
1158,4/14/2018,8.75,75,92,3583
1159,4/15/2018,8.48,74.28,114,3108
1160,4/16/2018,8.36,73.94,167,1530
1161,4/17/2018,8.33,73.87,155,366
1162,4/18/2018,8.32,73.82,165,293
1163,4/19/2018,8.3,73.77,168,292
1164,4/20/2018,8.28,73.71,127,292
1165,4/21/2018,8.27,73.68,251,292
1166,4/22/2018,8.25,73.63,168,292
1167,4/24/2018,8.21,73.53,168,292
1168,4/25/2018,8.19,73.48,167,291
1169,4/26/2018,8.18,73.43,167,291
1170,4/27/2018,8.16,73.38,167,291
1171,4/28/2018,8.14,73.33,167,291
1172,4/29/2018,8.09,73.2,150,605
1173,4/23/2018,8.23,73.58,168,292
1174,4/30/2018,8.04,73.04,129,707
1175,5/1/2018,7.98,72.87,104,700
1176,5/2/2018,7.92,72.7,344,935
1177,5/3/2018,7.84,72.46,115,986
1178,5/4/2018,7.76,72.24,190,981
1179,5/5/2018,7.68,72.02,185,976
1180,5/6/2018,7.61,71.8,205,971
1181,5/7/2018,7.54,71.58,202,966
1182,5/8/2018,7.46,71.36,197,961
1183,5/9/2018,7.4,71.16,269,956
1184,5/10/2018,7.33,70.95,233,952
1185,5/11/2018,7.26,70.75,284,947
1186,5/12/2018,7.19,70.53,261,998
1187,5/13/2018,7.13,70.33,330,993
1188,5/14/2018,7.06,70.13,324,987
1189,5/15/2018,6.99,69.91,244,971
1190,5/16/2018,6.93,69.71,316,955
1191,5/17/2018,6.87,69.52,343,950
1192,5/18/2018,6.83,69.37,482,945
1193,5/19/2018,6.79,69.24,550,942
1194,5/20/2018,6.76,69.14,655,939
1195,5/21/2018,6.76,69.14,1012,937
1196,5/22/2018,6.88,69.55,2491,943
1197,5/23/2018,7.04,70.05,2844,966
1198,5/24/2018,7.2,70.55,2929,989
1199,5/25/2018,7.34,71,2755,1001
1200,5/26/2018,7.54,71.6,3073,678
1201,5/27/2018,7.8,72.35,3370,348
1202,5/28/2018,8.06,73.1,3450,357
1203,5/29/2018,8.31,73.8,3270,291
1204,5/30/2018,8.53,74.4,2916,293
1205,5/31/2018,8.67,74.8,2093,295
1206,6/1/2018,8.79,75.1,1684,298
1207,6/2/2018,8.96,75.55,2361,301
1208,6/3/2018,9.09,75.9,1921,302
1209,6/4/2018,9.21,76.2,1731,303
1210,6/5/2018,9.31,76.45,1521,304
1211,6/6/2018,9.41,76.7,1521,305
1212,6/7/2018,9.52,77,1750,306
1213,6/8/2018,9.63,77.25,1564,306
1214,6/9/2018,9.73,77.5,1565,307
1215,6/10/2018,9.87,77.85,2037,308
1216,6/11/2018,10.57,79.5,8478,313
1217,6/12/2018,12.08,82.8,17883,342
1218,6/13/2018,14.01,86.6,22871,368
1219,6/14/2018,16.42,90.8,28383,394
1220,6/15/2018,18.8,94.5,28096,416
1221,6/16/2018,21.43,98.2,31037,437
1222,6/17/2018,23.4,100.75,23424,453
1223,6/19/2018,24.96,102.65,7753,376
1224,6/20/2018,25.81,103.65,6398,381
1225,6/21/2018,25.98,103.85,6494,388
1226,6/22/2018,26.55,104.5,7776,1045
1227,6/23/2018,26.99,105,8206,2961
1228,6/24/2018,27.12,105.15,5194,3464
1229,6/18/2018,24.34,101.9,11297,369
1230,6/25/2018,27.3,105.35,5715,3464
1231,6/26/2018,27.39,105.45,4178,2970
1232,6/27/2018,27.49,105.56,4286,2974
1233,6/28/2018,27.55,105.63,3995,3099
1234,6/29/2018,28.12,106.25,10168,3473
1235,6/30/2018,29.24,107.45,16604,3494
1236,7/1/2018,29.95,108.2,11958,3516
1237,7/2/2018,30.29,108.55,7603,3530
1238,7/3/2018,30.49,108.76,6039,3537
1239,7/4/2018,30.58,108.85,4490,3335
1240,7/5/2018,30.49,108.76,6039,3537
1241,7/6/2018,30.65,108.92,3642,3609
1242,7/7/2018,30.55,108.82,2505,3483
1243,7/8/2018,30.5,108.77,3066,3482
